20.08.;Main;01:00;02:00;DARK FUNERAL
20.08.;Main;12:00;12:40;INFECTED RAIN
20.08.;Main;12:55;13:35;NEKROGOBLIKON
20.08.;Main;13:50;14:35;BRAINSTORM
20.08.;Main;15:00;15:45;FIDDLER'S GREEN
20.08.;Main;16:10;17:10;J.B.O.
20.08.;Main;17:40;18:40;BURY TOMORROW
20.08.;Main;19:10;20:30;BLIND GUARDIAN
20.08.;Main;21:15;22:45;HEAVEN SHALL BURN
20.08.;Main;23:25;00:35;HYPOCRISY
20.08.;T;00:20;01:20;CYPECORE
20.08.;T;02:15;03:00;IGORRR
20.08.;T;11:30;12:15;CRISIX
20.08.;T;12:55;13:40;BROTHERS OF METAL
20.08.;T;14:20;15:05;ANALEPSY
20.08.;T;15:45;16:30;AVATARIUM
20.08.;T;17:10;17:55;PRIMAL FEAR
20.08.;T;18:35;19:35;BENEDICTION
20.08.;T;20:30;21:30;IGNITE
20.08.;T;22:25;23:25;COMBICHRIST
20.08.;Wera;01:25;02:10;HAMMER KING
20.08.;Wera;12:20;12:50;DEFOCUS
20.08.;Wera;13:45;14:15;SKYEYE
20.08.;Wera;15:10;15:40;TEMPTATIONS FOR THE WEAK
20.08.;Wera;16:35;17:05;ACRANIUS
20.08.;Wera;18:00;18:30;LÜT
20.08.;Wera;19:40;20:25;LIK
20.08.;Wera;21:35;22:20;AGRYPNIE
20.08.;Wera;23:30;00:15;BORN FROM PAIN
